#,"Parameter ranges (adapted from Hufkens et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Unused values left blank Note: time values t0 / t0_chill are rows in a 1:365 data matrix NOT DOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model,boundary,t0,t0_chill,T_base,T_opt,T_min,T_max,a,b,c,d,e,f,g,w,C_ini,F_crit,C_req,P_crit,L_crit,D_crit,VPD_min,VPD_max,L_min,L_max,k,P_base,P_ini,P_req,T_req,SM_base,SM_req,SM_ini,cdd_thres,T_thres,SM_crit,VPD_base,VPD_crit,dt,dp
AGSI,lower,,,,,-15,0,,,,,,,,,,0,,,,,0,2000,8,10,,,,,,,,,,,,,,,
AGSI,upper,,,,,0,45,,,,,,,,,,365,,,,,2000,5000,11.5,12,,,,,,,,,,,,,,,
AT,lower,1,,-10,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,upper,365,,10,,,,500,1000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDD,lower,30,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,,,,,,,,,,,
CDD,upper,365,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
DP,lower,,,,,,,-5,0,0,0,-1000,0,0,,,0,0,,8,0,,,,,,,,,,,,,,,,,,,
DP,upper,,,,,,,5,100,5,100,0,20,10,,,100,100,,14,100,,,,,,,,,,,,,,,,,,,
GRP,lower,,,,,,,,-10,-10,,,,,,,0,,0,6,,,,,,,,,,,,,,,,,,,,
GRP,upper,,,,,,,,0,0,,,,,,,2000,,50,12,,,,,,,,,,,,,,,,,,,,
LIN,lower,,,,,,,-1000,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN,upper,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,lower,1,,-10,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
M1,upper,365,,10,,,,,,,,,5,,,,2000,,,,,,,,,,,,,,,,,,,,,,,
M1s,lower,1,,,,,,,0,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
M1s,upper,365,,,,,,,100,100,,,5,,,,2000,,,,,,,,,,,,,,,,,,,,,,,
M1W,lower,1,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
M1W,upper,365,,,,,,,,,,,5,,,,2000,,,,,,,,,,150,,,,,,,,,,,,,
M1W_SM,lower,1,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,
M1W_SM,upper,365,,,,,,,,,,,5,,,,2000,,,,,,,,,,,,,,30,,,,,,,,,
M1Ws,lower,1,,,,,,,0,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
M1Ws,upper,365,,,,,,,100,100,,,5,,,,2000,,,,,,,,,,,,,,,,,,,,,,,
M1Ws_SM,lower,1,,,,,,,0,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
M1Ws_SM,upper,365,,,,,,,100,100,,,5,,,,2000,,,,,,,,,,,,,,,,,,,,,,,
PA,lower,1,1,-10,-5,-5,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PA,upper,365,365,10,10,10,15,,,,,,,,,1,2000,350,,,,,,,,,,,,,,,,,,,,,,
PAb,lower,1,1,-10,,,,0,-20,-10,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PAb,upper,365,365,10,,,,10,20,10,,,,,,1,2000,350,,,,,,,,,,,,,,,,,,,,,,
PAW,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,,,,,,,,,,,
PAW,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,150,1,300,,,,,,,,,,,
PAW_SM,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,,,,,,,
PAW_SM,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,,30,400,1,,,,,,,
PAWs,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,
PAWs,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,1,300,,,,,,,,,,,
PAWs_SM,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,
PAWs_SM,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,,,,400,1,,,,,,,
PM1,lower,1,,-10,-5,-5,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PM1,upper,365,,10,10,10,15,,,,,,,,,1,2000,350,,,,,,,,,,,,,,,,,,,,,,
PM1b,lower,1,,-10,,,,0,-20,-10,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PM1b,upper,365,,10,,,,10,20,10,,,,,,1,2000,350,,,,,,,,,,,,,,,,,,,,,,
PTT,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
PTT,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,
PTTs,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
PTTs,upper,365,,,,,,,100,100,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,
PWT,lower,1,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
PWT,upper,365,,,,,,,,,,,,,,,2000,,,,,,,,,,150,,,,,,,,,,,,,
PWT_SM,lower,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,
PWT_SM,upper,365,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,30,,,,,,,,,
PWTs,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
PWTs,upper,365,,,,,,,100,100,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,
PWTs_SM,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
PWTs_SM,upper,365,,,,,,,400,100,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,
SGSI,lower,,,,,-15,0,,,,,,,,,,0,,,,,0,2000,8,10,,,,,,,,,,,,,,,
SGSI,upper,,,,,0,45,,,,,,,,,,1,,,,,2000,5000,11.5,12,,,,,,,,,,,,,,,
SM1,lower,1,1,-10,-5,-5,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SM1,upper,365,365,10,10,10,15,,,,,,,,,,2000,350,,,,,,,,,,,,,,,,,,,,,,
SM1b,lower,1,1,-10,,,,0,-20,-10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SM1b,upper,365,365,10,,,,10,20,10,,,,,,,2000,350,,,,,,,,,,,,,,,,,,,,,,
SQ,lower,1,1,-10,-5,-5,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SQ,upper,365,365,10,10,10,15,,,,,,,,,,2000,350,,,,,,,,,,,,,,,,,,,,,,
SQb,lower,1,1,-10,,,,0,-20,-10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SQb,upper,365,365,10,,,,10,20,10,,,,,,,2000,350,,,,,,,,,,,,,,,,,,,,,,
SQW,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,,,,
SQW,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,150,,300,,,,,,,,,,,
SQW_cdd,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,1,,,,,,
SQW_cdd,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,300,,,,,100,,,,,,
SQW_cdd_Tmin,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,1,-20,,,,,
SQW_cdd_Tmin,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,300,,,,,100,20,,,,,
SQW_NoPbase,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
SQW_NoPbase,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,300,,,,,,,,,,,
SQW_Pi_Tmin,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,-20,,,,,
SQW_Pi_Tmin,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,300,,,,,,20,,,,,
SQW_SM,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,
SQW_SM,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,,30,400,,,,,,,,
SQW_Tmin,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,-20,,,,,
SQW_Tmin,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,300,,,,,,20,,,,,
SQWr,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,0,,,0,,,,,,,,,,
SQWr,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,150,,,1000,,,,,,,,,,
SQWr_SM,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,
SQWr_SM,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,1000,30,,,,,,,,,
SQWrs,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,
SQWrs,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,,1000,,,,,,,,,,
SQWrs_SM,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,
SQWrs_SM,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,,1000,,,,,,,,,,
SQWs,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
SQWs,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,300,,,,,,,,,,,
SQWs_cdd,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,1,,,,,,
SQWs_cdd,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,300,,,,,100,,,,,,
SQWs_cdd_Tmin,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,1,-20,,,,,
SQWs_cdd_Tmin,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,300,,,,,100,20,,,,,
SQWs_Pi_Tmin,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,-20,,,,,
SQWs_Pi_Tmin,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,300,,,,,,20,,,,,
SQWs_SM,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,
SQWs_SM,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,,,,400,,,,,,,,
SQWs_Tmin,lower,1,,-10,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,-20,,,,,
SQWs_Tmin,upper,365,,10,,,,,400,100,,,,,,,2000,,,,,,,,,,,,300,,,,,,20,,,,,
TT,lower,1,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
TT,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,
TTs,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
TTs,upper,365,,,,,,,100,100,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,
UM1,lower,1,,-10,-5,-5,0,,,,,,-100,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
UM1,upper,365,,10,10,10,15,,,,,,0,,1000,,,350,,,,,,,,,,,,,,,,,,,,,,
UN,lower,1,,,,,,0,0.1,-20,-20,-5,,-10,0,,,0,,,,,,,,,,,,,,,,,,,,,,
UN,upper,365,,,,,,10,10,0.1,0.1,20,,10,100,,,350,,,,,,,,,,,,,,,,,,,,,,
WT,lower,1,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
WT,upper,365,,,,,,,,,,,,,,,2000,,,,,,,,,,150,,,,,,,,,,,,,
WT_SM,lower,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,
WT_SM,upper,365,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,30,,,,,,,,,
WTs,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
WTs,upper,365,,,,,,,100,100,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,
WTs_SM,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
WTs_SM,upper,365,,,,,,,400,100,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,
CDDs,lower,30,,,,,,,-2,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
CDDs,upper,365,,,,,,,0,30,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
CDDP,lower,30,,-5,,,,,,,,,,,,,-100,,,,,,,,,,,,,,,,,,,,,,,
CDDP,upper,365,,30,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
CDD2,lower,,,-10,,,,,,,,,,,,,-2000,,,,,,,,,,,,,,,,,,,,,,,
CDD2,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
SOS,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
SOS,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,
CDD3,lower,,,-10,,,,,,,,,,,,,-2000,,,,,,,,,,,,,,,,,,,,,,0,
CDD3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,180,
CDDs3,lower,,,,,,,,-2,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,
CDDs3,upper,,,,,,,,0,30,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,180,
DD_W3,lower,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,
DD_W3,upper,,,,,,,,,,,,,,,,,,60,,,,,,,,50,,,,,,,,,,,,180,
DD_SM3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,
DD_SM3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,60,,,180,
DD_VPD3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
DD_VPD3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,60,180,
W3,lower,,,,,,,0.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0
W3,upper,,,,,,,1,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,180,100
SM3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,-1000,,,0,
SM3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,0,,,180,
VPD3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
VPD3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,500,180,
CDD_DD_W3,lower,,,-10,,,,,,,,,,,,,-1000,,0,,,,,,,,0,,,,,,,,,,,,0,
CDD_DD_W3,upper,,,30,,,,,,,,,,,,,0,,60,,,,,,,,50,,,,,,,,,,,,180,
CDD_DD_SM3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,,0,,,,,0,,,0,
CDD_DD_SM3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,40,,,,,50,,,180,
CDD_DD_VPD3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,,,,,,,,0,0,0,
CDD_DD_VPD3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8,60,180,
CDD_W3,lower,,,-10,,,,0.5,,,,,,,,,-2000,,0,,,,,,,,,,,,,,,,,,,,0,0
CDD_W3,upper,,,30,,,,1,,,,,,,,,0,,60,,,,,,,,,,,,,,,,,,,,180,100
CDD_SM3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,,0,,,,,-1000,,,0,
CDD_SM3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,40,,,,,0,,,180,
CDD_VPD3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,,,,,,,,0,0,0,
CDD_VPD3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8,500,180,
W_T_bal3,lower,,,,,,,0,,,,,,,,,-1000,,,,,,,,,,,,,,,,,,,,,,0,
W_T_bal3,upper,,,,,,,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,180,
CDDP3,lower,,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,
CDDP3,upper,,,30,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,180,
SMP3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,-1000,,,0,
SMP3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,0,,,180,
VPDP3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
VPDP3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,500,180,
CDDP_DD_W3,lower,,,-10,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,0,
CDDP_DD_W3,upper,,,30,,,,,,,,,,,,,1000,,60,,,,,,,,50,,,,,,,,,,,,180,
